Spectra extracted from: /Users/belmont/Recherche/codes/BELM/belm/simu000/BSC_avecinduit.txt
At local time: 19:03:04,  08/12/2021
Author: belmont
 
PARAMETERS:-----------------------------------
time      = 0.00e+00
Rcm       = 6.03e+05
tau       = 6.82e+00
lb        = 0.00e+00
beta      = ********
lth       = 9.49e+00
lc        = 0.00e+00
Tp        = 1.00e+06
pinj      = 2.12e-01
lnth      = 0.00e+00
p1        = 8.31e-01
p2        = 1.00e+03
gamma_inj = 5.00e+00
linjw     = 0.00e+00
kTin      = 1.00e+00
kTout     = 1.00e-10
linjem    = 0.00e+00
linjep    = 0.00e+00
lslh      = 0.00e+00
lh        = 0.00e+00
llll      = 0.00e+00
lblh      = 0.00e+00
lnthlh    = 0.00e+00
par3      = 0.00e+00
y         = 0.00e+00
rr        = 0.00e+00
qsto      = 1.67e+00
lsto      = 0.00e+00
lstotot   = 0.00e+00
tau_inj   = 0.00e+00
kTin_inj  = 0.00e+00
pinj_inj  = 0.00e+00
 
PHOTON DISTRIBUTIONS:-------------------------
 #bin     Emin(keV)         E(keV)          Emax(keV)        SPECTRUM         Compton          Brems ep         Error           
-----------------------------------------------
0001    5.1099905e-06    5.1236029e-06    5.1372876e-06    8.0953116e+24    3.7243526e+30   -3.6497038e+30    7.4640487e+28
0002    5.1372876e-06    5.1509724e-06    5.1647298e-06    2.3720804e+17   -6.6588579e+27    6.6588561e+27    1.8183341e+21
0003    5.1647298e-06    5.1784873e-06    5.1923189e-06    2.4288042e+17   -6.6924298e+27    6.6924268e+27    2.4504162e+21
0004    5.1923189e-06    5.2061500e-06    5.2200553e-06    2.4868948e+17   -6.7261717e+27    6.7261693e+27    2.4766657e+21
0005    5.2200553e-06    5.2339606e-06    5.2479400e-06    2.5463863e+17   -6.7600830e+27    6.7600812e+27    1.8773973e+21
0006    5.2479400e-06    5.2619193e-06    5.2759733e-06    2.6073120e+17   -6.7941643e+27    6.7941619e+27    2.5300108e+21
0007    5.2759733e-06    5.2900277e-06    5.3041567e-06    2.6697068e+17   -6.8284168e+27    6.8284150e+27    1.9178345e+21
0008    5.3041567e-06    5.3182862e-06    5.3324907e-06    2.7336087e+17   -6.8628423e+27    6.8628405e+27    1.9383790e+21
0009    5.3324907e-06    5.3466956e-06    5.3609760e-06    2.7990536e+17   -6.8974395e+27    6.8974377e+27    1.9591431e+21
0010    5.3609760e-06    5.3752565e-06    5.3896133e-06    2.8660787e+17   -6.9322109e+27    6.9322079e+27    2.6401728e+21
0011    5.3896133e-06    5.4039701e-06    5.4184038e-06    2.9347240e+17   -6.9671576e+27    6.9671546e+27    2.6684551e+21
0012    5.4184038e-06    5.4328375e-06    5.4473480e-06    3.0050306e+17   -7.0022790e+27    7.0022766e+27    2.0227801e+21
0013    5.4473480e-06    5.4618586e-06    5.4764469e-06    3.0770369e+17   -7.0375769e+27    7.0375745e+27    2.0444483e+21
0014    5.4764469e-06    5.4910347e-06    5.5057008e-06    3.1507835e+17   -7.0730519e+27    7.0730490e+27    2.7551317e+21
0015    5.5057008e-06    5.5203673e-06    5.5351111e-06    3.2263207e+17   -7.1087064e+27    7.1087034e+27    2.7846455e+21
0016    5.5351111e-06    5.5498558e-06    5.5646792e-06    3.3036878e+17   -7.1445379e+27    7.1445355e+27    2.1108560e+21
0017    5.5646792e-06    5.5795022e-06    5.5944047e-06    3.3829272e+17   -7.1805513e+27    7.1805489e+27    2.1334682e+21
0018    5.5944047e-06    5.6093068e-06    5.6242889e-06    3.4640866e+17   -7.2167453e+27    7.2167423e+27    2.8750963e+21
