Spectra extracted from: /Users/belmont/Recherche/codes/BELM/belm/simu_BSC_sansinduit/BSC_sansinduit.txt
At local time: 16:37:44,  07/29/2021
Author: belmont
 
PARAMETERS:-----------------------------------
time      = 0.00e+00
Rcm       = 6.03e+05
tau       = 6.82e+00
lb        = 0.00e+00
beta      = ********
lth       = 9.49e+00
lc        = 0.00e+00
Tp        = 1.00e+06
pinj      = 2.12e-01
lnth      = 0.00e+00
p1        = 8.31e-01
p2        = 1.00e+03
gamma_inj = 5.00e+00
linjw     = 0.00e+00
kTin      = 1.00e+00
kTout     = 1.00e-10
linjem    = 0.00e+00
linjep    = 0.00e+00
lslh      = 0.00e+00
lh        = 0.00e+00
llll      = 0.00e+00
lblh      = 0.00e+00
lnthlh    = 0.00e+00
par3      = 0.00e+00
y         = 0.00e+00
rr        = 0.00e+00
qsto      = 1.67e+00
lsto      = 0.00e+00
lstotot   = 0.00e+00
tau_inj   = 0.00e+00
kTin_inj  = 0.00e+00
pinj_inj  = 0.00e+00
 
PHOTON DISTRIBUTIONS:-------------------------
 #bin     Emin(keV)         E(keV)          Emax(keV)        SPECTRUM         Compton          Brems ep         Error           
-----------------------------------------------
0001    5.1099905e-06    5.1236029e-06    5.1372876e-06    2.1459919e+24   -1.3667247e+25    1.5813238e+25    0.0000000e+00
0002    5.1372876e-06    5.1509724e-06    5.1647298e-06    1.0976395e+22    1.1977928e+22   -1.0015319e+21    2.1676232e+14
0003    5.1647298e-06    5.1784873e-06    5.1923189e-06    1.1155428e+22    1.1564960e+22   -4.0953216e+20    3.6514046e+13
0004    5.1923189e-06    5.2061500e-06    5.2200553e-06    1.1337370e+22    1.1143561e+22    1.9380909e+20    4.6131492e+14
0005    5.2200553e-06    5.2339606e-06    5.2479400e-06    1.1522265e+22    1.0713430e+22    8.0883474e+20    4.4760639e+14
0006    5.2479400e-06    5.2619193e-06    5.2759733e-06    1.1710160e+22    1.0274140e+22    1.4360202e+21    1.5080040e+14
0007    5.2759733e-06    5.2900277e-06    5.3041567e-06    1.1901104e+22    9.8259818e+21    2.0751230e+21    3.0483158e+14
0008    5.3041567e-06    5.3182862e-06    5.3324907e-06    1.2095151e+22    9.3689903e+21    2.7261603e+21    6.1619406e+14
0009    5.3324907e-06    5.3466956e-06    5.3609760e-06    1.2292344e+22    8.9012887e+21    3.3910551e+21    3.1139741e+14
0010    5.3609760e-06    5.3752565e-06    5.3896133e-06    1.2492739e+22    8.4259743e+21    4.0667640e+21    3.1473312e+14
0011    5.3896133e-06    5.4039701e-06    5.4184038e-06    1.2696386e+22    7.9382507e+21    4.7581352e+21    3.1810464e+14
0012    5.4184038e-06    5.4328375e-06    5.4473480e-06    1.2903338e+22    7.4438979e+21    5.4594391e+21    6.4302445e+14
0013    5.4473480e-06    5.4618586e-06    5.4764469e-06    1.3113648e+22    6.9366012e+21    6.1770455e+21    6.4991264e+14
0014    5.4764469e-06    5.4910347e-06    5.5057008e-06    1.3327370e+22    6.4178490e+21    6.9095194e+21    6.5687458e+14
0015    5.5057008e-06    5.5203673e-06    5.5351111e-06    1.3544560e+22    5.8940635e+21    7.6504966e+21    0.0000000e+00
0016    5.5351111e-06    5.5498558e-06    5.5646792e-06    1.3765274e+22    5.3562070e+21    8.4090666e+21    0.0000000e+00
0017    5.5646792e-06    5.5795022e-06    5.5944047e-06    1.3989570e+22    4.8048781e+21    9.1846923e+21    6.7821124e+14
0018    5.5944047e-06    5.6093068e-06    5.6242889e-06    1.4217505e+22    4.2417860e+21    9.9757186e+21    0.0000000e+00
0019    5.6242889e-06    5.6392705e-06    5.6543327e-06    1.4449136e+22    3.6755827e+21    1.0773554e+22    0.0000000e+00
0020    5.6543327e-06    5.6693948e-06    5.6845370e-06    1.4684527e+22    3.0939465e+21    1.1590579e+22    7.0024093e+14
0021    5.6845370e-06    5.6996796e-06    5.7149032e-06    1.4923736e+22    2.4977735e+21    1.2425962e+22    0.0000000e+00
0022    5.7149032e-06    5.7301263e-06    5.7454308e-06    1.5166824e+22    1.8835196e+21    1.3283304e+22    0.0000000e+00
0023    5.7454308e-06    5.7607353e-06    5.7761222e-06    1.5413855e+22    1.2654591e+21    1.4148396e+22    0.0000000e+00
0024    5.7761222e-06    5.7915086e-06    5.8069772e-06    1.5664893e+22    6.4006052e+20    1.5024833e+22    0.0000000e+00
0025    5.8069772e-06    5.8224455e-06    5.8379969e-06    1.5920005e+22   -1.7910453e+18    1.5921795e+22    1.4771172e+15
0026    5.8379969e-06    5.8535479e-06    5.8691826e-06    1.6179251e+22   -6.5943655e+20    1.6838690e+22    1.4929404e+15
0027    5.8691826e-06    5.8848168e-06    5.9005347e-06    1.6442672e+22   -1.3358138e+21    1.7778486e+22    1.5089331e+15
0028    5.9005347e-06    5.9162521e-06    5.9320541e-06    1.5358979e+22    1.0266569e+22    5.0924104e+21    0.0000000e+00
0029    5.9320541e-06    5.9478562e-06    5.9637423e-06    1.5617402e+22    9.7003471e+21    5.9170538e+21    3.8535859e+14
0030    5.9637423e-06    5.9796284e-06    5.9955996e-06    1.5880103e+22    9.1241454e+21    6.7559573e+21    0.0000000e+00
0031    5.9955996e-06    6.0115708e-06    6.0276270e-06    1.6147157e+22    8.5310461e+21    7.6161105e+21    0.0000000e+00
0032    6.0276270e-06    6.0436832e-06    6.0598254e-06    1.6418637e+22    7.9230674e+21    8.4955695e+21    0.0000000e+00
0033    6.0598254e-06    6.0759676e-06    6.0921957e-06    1.6694614e+22    7.2978164e+21    9.3967978e+21    0.0000000e+00
0034    6.0921957e-06    6.1084247e-06    6.1247392e-06    1.6975161e+22    6.6532038e+21    1.0321958e+22    8.1289135e+14
0035    6.1247392e-06    6.1410547e-06    6.1574565e-06    1.7260353e+22    5.9951293e+21    1.1265224e+22    0.0000000e+00
0036    6.1574565e-06    6.1738592e-06    6.1903488e-06    1.7550269e+22    5.3471188e+21    1.2203149e+22    0.0000000e+00
0037    6.1903488e-06    6.2068389e-06    6.2234162e-06    1.7844981e+22    4.6836026e+21    1.3161379e+22    0.0000000e+00
0038    6.2234162e-06    6.2399945e-06    6.2566610e-06    1.8144572e+22    4.0034864e+21    1.4141086e+22    0.0000000e+00
0039    6.2566610e-06    6.2733275e-06    6.2900826e-06    1.8449122e+22    3.3048228e+21    1.5144300e+22    0.0000000e+00
0040    6.2900826e-06    6.3068383e-06    6.3236830e-06    1.8758705e+22    2.5868468e+21    1.6171859e+22    0.0000000e+00
0041    6.3236830e-06    6.3405287e-06    6.3574635e-06    1.9073415e+22    1.8490034e+21    1.7224413e+22    0.0000000e+00
0042    6.3574635e-06    6.3743983e-06    6.3914240e-06    1.9393326e+22    1.0889002e+21    1.8304427e+22    0.0000000e+00
0043    6.3914240e-06    6.4084493e-06    6.4255655e-06    1.9718534e+22    3.1860983e+20    1.9399924e+22    0.0000000e+00
0044    6.4255655e-06    6.4426822e-06    6.4598903e-06    2.0049114e+22   -4.4078260e+20    2.0489894e+22    1.8085792e+15
0045    6.4598903e-06    6.4770979e-06    6.4943974e-06    2.0385156e+22   -1.2157208e+21    2.1600878e+22    1.8279530e+15
0046    6.4943974e-06    6.5116969e-06    6.5290897e-06    2.0726754e+22   -2.0118348e+21    2.2738591e+22    0.0000000e+00
0047    6.5290897e-06    6.5464819e-06    6.5639665e-06    2.1074000e+22   -2.8275862e+21    2.3901587e+22    0.0000000e+00
0048    6.5639665e-06    6.5814520e-06    6.5990303e-06    2.1426983e+22   -3.6641506e+21    2.5091134e+22    0.0000000e+00
0049    6.5990303e-06    6.6166090e-06    6.6342809e-06    2.1785796e+22   -4.5245622e+21    2.6310358e+22    0.0000000e+00
0050    6.6342809e-06    6.6519533e-06    6.6697203e-06    2.2150534e+22   -5.4093135e+21    2.7559848e+22    0.0000000e+00
0051    6.6697203e-06    6.6874868e-06    6.7053484e-06    2.2521297e+22   -6.3171570e+21    2.8838456e+22    0.0000000e+00
0052    6.7053484e-06    6.7232104e-06    6.7411675e-06    2.2898185e+22   -7.2425313e+21    3.0140717e+22    0.0000000e+00
0053    6.7411675e-06    6.7591250e-06    6.7771775e-06    2.3281295e+22   -8.1499695e+21    3.1431264e+22    0.0000000e+00
0054    6.7771775e-06    6.7952305e-06    6.8133800e-06    2.3670726e+22   -9.0719008e+21    3.2742626e+22    2.0119283e+15
0055    6.8133800e-06    6.8315298e-06    6.8497761e-06    2.4066588e+22   -1.0016448e+22    3.4083035e+22    2.0334806e+15
0056    6.8497761e-06    6.8680224e-06    6.8863665e-06    2.4468978e+22   -1.0984426e+22    3.5453404e+22    0.0000000e+00
0057    6.8863665e-06    6.9047105e-06    6.9231519e-06    2.4878015e+22   -1.1977264e+22    3.6855275e+22    0.0000000e+00
