Spectra extracted from: /Users/belmont/Recherche/codes/BELM/belm/simu000/BSC_avecinduit.txt
At local time: 16:14:40,  07/29/2021
Author: belmont
 
PARAMETERS:-----------------------------------
time      = 0.00e+00
Rcm       = 6.03e+05
tau       = 6.82e+00
lb        = 0.00e+00
beta      = ********
lth       = 9.49e+00
lc        = 0.00e+00
Tp        = 1.00e+06
pinj      = 2.12e-01
lnth      = 0.00e+00
p1        = 8.31e-01
p2        = 1.00e+03
gamma_inj = 5.00e+00
linjw     = 0.00e+00
kTin      = 1.00e+00
kTout     = 1.00e-10
linjem    = 0.00e+00
linjep    = 0.00e+00
lslh      = 0.00e+00
lh        = 0.00e+00
llll      = 0.00e+00
lblh      = 0.00e+00
lnthlh    = 0.00e+00
par3      = 0.00e+00
y         = 0.00e+00
rr        = 0.00e+00
qsto      = 1.67e+00
lsto      = 0.00e+00
lstotot   = 0.00e+00
tau_inj   = 0.00e+00
kTin_inj  = 0.00e+00
pinj_inj  = 0.00e+00
 
PHOTON DISTRIBUTIONS:-------------------------
 #bin     Emin(keV)         E(keV)          Emax(keV)        SPECTRUM         Compton          Brems ep         Error           
-----------------------------------------------
0001    5.1099905e-06    5.1236029e-06    5.1372876e-06    7.7827055e+24    3.7183312e+30   -3.4579123e+30    2.6041101e+29
0002    5.1372876e-06    5.1509724e-06    5.1647298e-06    2.4673556e+17   -6.6588579e+27    6.6588496e+27    7.8794478e+21
0003    5.1647298e-06    5.1784873e-06    5.1923189e-06    2.5263577e+17   -6.6924298e+27    6.6924215e+27    7.9638526e+21
0004    5.1923189e-06    5.2061500e-06    5.2200553e-06    2.5867817e+17   -6.7261717e+27    6.7261640e+27    8.0491631e+21
0005    5.2200553e-06    5.2339606e-06    5.2479400e-06    2.6486625e+17   -6.7600830e+27    6.7600753e+27    8.1353879e+21
0006    5.2479400e-06    5.2619193e-06    5.2759733e-06    2.7120351e+17   -6.7941643e+27    6.7941560e+27    8.2225348e+21
0007    5.2759733e-06    5.2900277e-06    5.3041567e-06    2.7769364e+17   -6.8284168e+27    6.8284085e+27    8.3106162e+21
0008    5.3041567e-06    5.3182862e-06    5.3324907e-06    2.8434048e+17   -6.8628423e+27    6.8628340e+27    8.3996423e+21
0009    5.3324907e-06    5.3466956e-06    5.3609760e-06    2.9114783e+17   -6.8974395e+27    6.8974312e+27    8.4896203e+21
0010    5.3609760e-06    5.3752565e-06    5.3896133e-06    2.9811956e+17   -6.9322103e+27    6.9322020e+27    7.9205184e+21
0011    5.3896133e-06    5.4039701e-06    5.4184038e-06    3.0525978e+17   -6.9671570e+27    6.9671487e+27    8.0053651e+21
0012    5.4184038e-06    5.4328375e-06    5.4473480e-06    3.1257284e+17   -7.0022790e+27    7.0022701e+27    8.7653802e+21
0013    5.4473480e-06    5.4618586e-06    5.4764469e-06    3.2006268e+17   -7.0375769e+27    7.0375680e+27    8.8592763e+21
0014    5.4764469e-06    5.4910347e-06    5.5057008e-06    3.2773356e+17   -7.0730513e+27    7.0730430e+27    8.2653950e+21
0015    5.5057008e-06    5.5203673e-06    5.5351111e-06    3.3559067e+17   -7.1087058e+27    7.1086975e+27    8.3539364e+21
