Spectra extracted from: /Users/belmont/Recherche/codes/BELM/belm/simu000/with_induced.txt
At local time: 11:34:36,  07/13/2021
Author: belmont
 
PARAMETERS:-----------------------------------
time      = 0.00e+00
Rcm       = 5.00e+07
tau       = 2.40e+00
lb        = 1.62e-02
beta      = 2.91e+08
lth       = 9.49e+00
lc        = 0.00e+00
Tp        = 1.00e+06
pinj      = 1.57e-01
lnth      = 0.00e+00
p1        = 8.31e-01
p2        = 1.00e+03
gamma_inj = 5.00e+00
linjw     = 0.00e+00
kTin      = 1.00e+00
kTout     = 1.00e-10
linjem    = 0.00e+00
linjep    = 0.00e+00
lslh      = 0.00e+00
lh        = 0.00e+00
llll      = 0.00e+00
lblh      = 0.00e+00
lnthlh    = 0.00e+00
par3      = 0.00e+00
y         = 0.00e+00
rr        = 0.00e+00
qsto      = 1.67e+00
lsto      = 0.00e+00
lstotot   = 0.00e+00
tau_inj   = 0.00e+00
kTin_inj  = 0.00e+00
pinj_inj  = 0.00e+00
 
PHOTON DISTRIBUTIONS:-------------------------
 #bin     Emin(keV)         E(keV)          Emax(keV)        SPECTRUM         Compton          Synchrotron      Error           
-----------------------------------------------
0001    5.1099905e-06    5.1236029e-06    5.1372876e-06    1.1890544e+26    1.1957056e+35   -1.1957055e+35    1.3033034e+28
0002    5.1372876e-06    5.1509724e-06    5.1647298e-06    5.3654564e+25   -1.3135033e+33    1.3135034e+33    0.0000000e+00
0003    5.1647298e-06    5.1784873e-06    5.1923189e-06    5.4519892e+25   -1.3080553e+33    1.3080554e+33    0.0000000e+00
0004    5.1923189e-06    5.2061500e-06    5.2200553e-06    5.5399170e+25   -1.3026236e+33    1.3026236e+33    0.0000000e+00
0005    5.2200553e-06    5.2339606e-06    5.2479400e-06    5.6292601e+25   -1.2972077e+33    1.2972077e+33    0.0000000e+00
0006    5.2479400e-06    5.2619193e-06    5.2759733e-06    5.7200416e+25   -1.2918068e+33    1.2918068e+33    0.0000000e+00
0007    5.2759733e-06    5.2900277e-06    5.3041567e-06    5.8122854e+25   -1.2864213e+33    1.2864213e+33    1.0854267e+26
0008    5.3041567e-06    5.3182862e-06    5.3324907e-06    5.9060157e+25   -1.2810505e+33    1.2810506e+33    0.0000000e+00
0009    5.3324907e-06    5.3466956e-06    5.3609760e-06    6.0012539e+25   -1.2756943e+33    1.2756943e+33    0.0000000e+00
0010    5.3609760e-06    5.3752565e-06    5.3896133e-06    6.0980260e+25   -1.2703522e+33    1.2703522e+33    0.0000000e+00
0011    5.3896133e-06    5.4039701e-06    5.4184038e-06    6.1963568e+25   -1.2650248e+33    1.2650248e+33    1.1326886e+26
0012    5.4184038e-06    5.4328375e-06    5.4473480e-06    6.2962713e+25   -1.2597101e+33    1.2597102e+33    0.0000000e+00
0013    5.4473480e-06    5.4618586e-06    5.4764469e-06    6.3977939e+25   -1.2544094e+33    1.2544094e+33    0.0000000e+00
0014    5.4764469e-06    5.4910347e-06    5.5057008e-06    6.5009513e+25   -1.2491230e+33    1.2491231e+33    0.0000000e+00
0015    5.5057008e-06    5.5203673e-06    5.5351111e-06    6.6057712e+25   -1.2438481e+33    1.2438481e+33    1.1820083e+26
0016    5.5351111e-06    5.5498558e-06    5.5646792e-06    6.7122767e+25   -1.2385852e+33    1.2385853e+33    0.0000000e+00
0017    5.5646792e-06    5.5795022e-06    5.5944047e-06    6.8204992e+25   -1.2333368e+33    1.2333368e+33    1.2074678e+26
0018    5.5944047e-06    5.6093068e-06    5.6242889e-06    6.9304639e+25   -1.2281015e+33    1.2281015e+33    1.2204024e+26
0019    5.6242889e-06    5.6392705e-06    5.6543327e-06    7.0421986e+25   -1.2228759e+33    1.2228759e+33    1.2334755e+26
0020    5.6543327e-06    5.6693948e-06    5.6845370e-06    7.1557332e+25   -1.2176612e+33    1.2176613e+33    0.0000000e+00
0021    5.6845370e-06    5.6996796e-06    5.7149032e-06    7.2710959e+25   -1.2124589e+33    1.2124591e+33    0.0000000e+00
0022    5.7149032e-06    5.7301263e-06    5.7454308e-06    7.3883148e+25   -1.2072709e+33    1.2072711e+33    0.0000000e+00
0023    5.7454308e-06    5.7607353e-06    5.7761222e-06    7.5074213e+25   -1.2020936e+33    1.2020938e+33    0.0000000e+00
0024    5.7761222e-06    5.7915086e-06    5.8069772e-06    7.6284472e+25   -1.1969246e+33    1.1969246e+33    1.3009722e+26
0025    5.8069772e-06    5.8224455e-06    5.8379969e-06    7.7514205e+25   -1.1917647e+33    1.1917647e+33    1.3149085e+26
0026    5.8379969e-06    5.8535479e-06    5.8691826e-06    7.8763742e+25   -1.1866158e+33    1.1866158e+33    1.3289940e+26
0027    5.8691826e-06    5.8848168e-06    5.9005347e-06    8.0033394e+25   -1.1814796e+33    1.1814796e+33    1.3432305e+26
0028    5.9005347e-06    5.9162521e-06    5.9320541e-06    8.1323486e+25   -1.1763575e+33    1.1763576e+33    0.0000000e+00
0029    5.9320541e-06    5.9478562e-06    5.9637423e-06    8.2634367e+25   -1.1712430e+33    1.1712432e+33    0.0000000e+00
0030    5.9637423e-06    5.9796284e-06    5.9955996e-06    8.3966351e+25   -1.1661343e+33    1.1661344e+33    0.0000000e+00
0031    5.9955996e-06    6.0115708e-06    6.0276270e-06    8.5319770e+25   -1.1610333e+33    1.1610335e+33    7.0085886e+25
