Spectra extracted from: /Users/belmont/Recherche/codes/BELM/belm/simu000/without_induced.txt
At local time: 11:37:43,  07/13/2021
Author: belmont
 
PARAMETERS:-----------------------------------
time      = 0.00e+00
Rcm       = 5.00e+07
tau       = 2.40e+00
lb        = 1.62e-02
beta      = 2.91e+08
lth       = 9.49e+00
lc        = 0.00e+00
Tp        = 1.00e+06
pinj      = 1.57e-01
lnth      = 0.00e+00
p1        = 8.31e-01
p2        = 1.00e+03
gamma_inj = 5.00e+00
linjw     = 0.00e+00
kTin      = 1.00e+00
kTout     = 1.00e-10
linjem    = 0.00e+00
linjep    = 0.00e+00
lslh      = 0.00e+00
lh        = 0.00e+00
llll      = 0.00e+00
lblh      = 0.00e+00
lnthlh    = 0.00e+00
par3      = 0.00e+00
y         = 0.00e+00
rr        = 0.00e+00
qsto      = 1.67e+00
lsto      = 0.00e+00
lstotot   = 0.00e+00
tau_inj   = 0.00e+00
kTin_inj  = 0.00e+00
pinj_inj  = 0.00e+00
 
PHOTON DISTRIBUTIONS:-------------------------
 #bin     Emin(keV)         E(keV)          Emax(keV)        SPECTRUM         Compton          Synchrotron      Error           
-----------------------------------------------
0001    5.1099905e-06    5.1236029e-06    5.1372876e-06    5.3524155e+25    3.4385912e+27   -3.3850670e+27    0.0000000e+00
0002    5.1372876e-06    5.1509724e-06    5.1647298e-06    5.4386503e+25   -9.4836307e+25    1.4922280e+26    1.2267982e+19
0003    5.1647298e-06    5.1784873e-06    5.1923189e-06    5.5262724e+25   -9.5577635e+25    1.5084037e+26    1.2399397e+19
0004    5.1923189e-06    5.2061500e-06    5.2200553e-06    5.6153088e+25   -9.6329857e+25    1.5248294e+26    0.0000000e+00
0005    5.2200553e-06    5.2339606e-06    5.2479400e-06    5.7057786e+25   -9.7093091e+25    1.5415087e+26    1.2666472e+19
0006    5.2479400e-06    5.2619193e-06    5.2759733e-06    5.7977061e+25   -9.7867504e+25    1.5584457e+26    0.0000000e+00
0007    5.2759733e-06    5.2900277e-06    5.3041567e-06    5.8911148e+25   -9.8653298e+25    1.5756445e+26    1.2939295e+19
0008    5.3041567e-06    5.3182862e-06    5.3324907e-06    5.9860289e+25   -9.9450640e+25    1.5931091e+26    0.0000000e+00
0009    5.3324907e-06    5.3466956e-06    5.3609760e-06    6.0824712e+25   -1.0025971e+26    1.6108442e+26    0.0000000e+00
0010    5.3609760e-06    5.3752565e-06    5.3896133e-06    6.1804672e+25   -1.0108066e+26    1.6288532e+26    1.3359589e+19
0011    5.3896133e-06    5.4039701e-06    5.4184038e-06    6.2800432e+25   -1.0191374e+26    1.6471417e+26    0.0000000e+00
0012    5.4184038e-06    5.4328375e-06    5.4473480e-06    6.3812231e+25   -1.0275908e+26    1.6657130e+26    2.7294688e+19
0013    5.4473480e-06    5.4618586e-06    5.4764469e-06    6.4840324e+25   -1.0361691e+26    1.6845722e+26    1.3793536e+19
0014    5.4764469e-06    5.4910347e-06    5.5057008e-06    6.5884981e+25   -1.0448744e+26    1.7037241e+26    1.3941294e+19
0015    5.5057008e-06    5.5203673e-06    5.5351111e-06    6.6946481e+25   -1.0537080e+26    1.7231729e+26    1.4090637e+19
0016    5.5351111e-06    5.5498558e-06    5.5646792e-06    6.8025071e+25   -1.0626722e+26    1.7429229e+26    0.0000000e+00
0017    5.5646792e-06    5.5795022e-06    5.5944047e-06    6.9121052e+25   -1.0717699e+26    1.7629804e+26    0.0000000e+00
0018    5.5944047e-06    5.6093068e-06    5.6242889e-06    7.0234682e+25   -1.0810027e+26    1.7833495e+26    0.0000000e+00
0019    5.6242889e-06    5.6392705e-06    5.6543327e-06    7.1366252e+25   -1.0903717e+26    1.8040340e+26    1.4704174e+19
0020    5.6543327e-06    5.6693948e-06    5.6845370e-06    7.2516051e+25   -1.0998799e+26    1.8250402e+26    1.4861687e+19
0021    5.6845370e-06    5.6996796e-06    5.7149032e-06    7.3684389e+25   -1.1095298e+26    1.8463735e+26    0.0000000e+00
0022    5.7149032e-06    5.7301263e-06    5.7454308e-06    7.4871539e+25   -1.1193242e+26    1.8680396e+26    1.5181796e+19
0023    5.7454308e-06    5.7607353e-06    5.7761222e-06    7.6077799e+25   -1.1292644e+26    1.8900423e+26    0.0000000e+00
0024    5.7761222e-06    5.7915086e-06    5.8069772e-06    7.7303521e+25   -1.1393521e+26    1.9123872e+26    1.5508797e+19
0025    5.8069772e-06    5.8224455e-06    5.8379969e-06    7.8548976e+25   -1.1495898e+26    1.9350797e+26    0.0000000e+00
0026    5.8379969e-06    5.8535479e-06    5.8691826e-06    7.9814505e+25   -1.1599809e+26    1.9581259e+26    0.0000000e+00
0027    5.8691826e-06    5.8848168e-06    5.9005347e-06    8.1100428e+25   -1.1705283e+26    1.9815323e+26    1.6012555e+19
0028    5.9005347e-06    5.9162521e-06    5.9320541e-06    8.2407057e+25   -1.1812350e+26    2.0053055e+26    1.6184083e+19
0029    5.9320541e-06    5.9478562e-06    5.9637423e-06    8.3734752e+25   -1.1921014e+26    2.0294490e+26    0.0000000e+00
0030    5.9637423e-06    5.9796284e-06    5.9955996e-06    8.5083827e+25   -1.2031295e+26    2.0539678e+26    0.0000000e+00
0031    5.9955996e-06    6.0115708e-06    6.0276270e-06    8.6454632e+25   -1.2143227e+26    2.0788691e+26    0.0000000e+00
0032    6.0276270e-06    6.0436832e-06    6.0598254e-06    8.7847527e+25   -1.2256840e+26    2.1041590e+26    1.6888775e+19
0033    6.0598254e-06    6.0759676e-06    6.0921957e-06    8.9262872e+25   -1.2372172e+26    2.1298458e+26    0.0000000e+00
0034    6.0921957e-06    6.1084247e-06    6.1247392e-06    9.0701008e+25   -1.2489255e+26    2.1559354e+26    1.7252545e+19
0035    6.1247392e-06    6.1410547e-06    6.1574565e-06    9.2162322e+25   -1.2608121e+26    2.1824354e+26    0.0000000e+00
0036    6.1574565e-06    6.1738592e-06    6.1903488e-06    9.3647174e+25   -1.2728764e+26    2.2093479e+26    1.7624149e+19
0037    6.1903488e-06    6.2068389e-06    6.2234162e-06    9.5155952e+25   -1.2851214e+26    2.2366806e+26    3.5625883e+19
0038    6.2234162e-06    6.2399945e-06    6.2566610e-06    9.6689033e+25   -1.2975505e+26    2.2644411e+26    1.8003757e+19
0039    6.2566610e-06    6.2733275e-06    6.2900826e-06    9.8246833e+25   -1.3101676e+26    2.2926359e+26    1.8196618e+19
0040    6.2900826e-06    6.3068383e-06    6.3236830e-06    9.9829702e+25   -1.3229761e+26    2.3212732e+26    0.0000000e+00
0041    6.3236830e-06    6.3405287e-06    6.3574635e-06    1.0143810e+26   -1.3359804e+26    2.3503615e+26    1.8588557e+19
0042    6.3574635e-06    6.3743983e-06    6.3914240e-06    1.0307239e+26   -1.3491843e+26    2.3799082e+26    0.0000000e+00
0043    6.3914240e-06    6.4084493e-06    6.4255655e-06    1.0473303e+26   -1.3625908e+26    2.4099210e+26    0.0000000e+00
0044    6.4255655e-06    6.4426822e-06    6.4598903e-06    1.0642041e+26   -1.3761988e+26    2.4404030e+26    0.0000000e+00
0045    6.4598903e-06    6.4770979e-06    6.4943974e-06    1.0813498e+26   -1.3900118e+26    2.4713614e+26    1.9397943e+19
0046    6.4943974e-06    6.5116969e-06    6.5290897e-06    1.0987717e+26   -1.4040339e+26    2.5028055e+26    0.0000000e+00
0047    6.5290897e-06    6.5464819e-06    6.5639665e-06    1.1164744e+26   -1.4182691e+26    2.5347435e+26    1.9815757e+19
0048    6.5639665e-06    6.5814520e-06    6.5990303e-06    1.1344623e+26   -1.4327216e+26    2.5671841e+26    4.0056057e+19
0049    6.5990303e-06    6.6166090e-06    6.6342809e-06    1.1527399e+26   -1.4473957e+26    2.6001355e+26    0.0000000e+00
0050    6.6342809e-06    6.6519533e-06    6.6697203e-06    1.1713120e+26   -1.4622963e+26    2.6336083e+26    0.0000000e+00
0051    6.6697203e-06    6.6874868e-06    6.7053484e-06    1.1901834e+26   -1.4774279e+26    2.6676111e+26    0.0000000e+00
0052    6.7053484e-06    6.7232104e-06    6.7411675e-06    1.2093589e+26   -1.4927945e+26    2.7021532e+26    2.0900091e+19
0053    6.7411675e-06    6.7591250e-06    6.7771775e-06    1.2288431e+26   -1.5083940e+26    2.7372373e+26    0.0000000e+00
0054    6.7771775e-06    6.7952305e-06    6.8133800e-06    1.2486414e+26   -1.5242302e+26    2.7728714e+26    4.2700519e+19
0055    6.8133800e-06    6.8315298e-06    6.8497761e-06    1.2687587e+26   -1.5403075e+26    2.8090661e+26    0.0000000e+00
0056    6.8497761e-06    6.8680224e-06    6.8863665e-06    1.2891999e+26   -1.5566302e+26    2.8458298e+26    2.1810124e+19
0057    6.8863665e-06    6.9047105e-06    6.9231519e-06    1.3099707e+26   -1.5732036e+26    2.8831744e+26    0.0000000e+00
0058    6.9231519e-06    6.9415942e-06    6.9601342e-06    1.3310760e+26   -1.5900322e+26    2.9211083e+26    0.0000000e+00
0059    6.9601342e-06    6.9786747e-06    6.9973144e-06    1.3525214e+26   -1.6071217e+26    2.9596428e+26    0.0000000e+00
0060    6.9973144e-06    7.0159535e-06    7.0346928e-06    1.3743123e+26   -1.6244771e+26    2.9987894e+26    0.0000000e+00
0061    7.0346928e-06    7.0534315e-06    7.0722708e-06    1.3964540e+26   -1.6421039e+26    3.0385580e+26    0.0000000e+00
0062    7.0722708e-06    7.0911101e-06    7.1100494e-06    1.4189529e+26   -1.6600081e+26    3.0789610e+26    0.0000000e+00
0063    7.1100494e-06    7.1289896e-06    7.1480304e-06    1.4418140e+26   -1.6781892e+26    3.1200033e+26    0.0000000e+00
0064    7.1480304e-06    7.1670711e-06    7.1862137e-06    1.4650435e+26   -1.6966476e+26    3.1616911e+26    0.0000000e+00
0065    7.1862137e-06    7.2053563e-06    7.2246012e-06    1.4886472e+26   -1.7153887e+26    3.2040360e+26    0.0000000e+00
0066    7.2246012e-06    7.2438461e-06    7.2631933e-06    1.5126313e+26   -1.7344177e+26    3.2470486e+26    2.4262367e+19
0067    7.2631933e-06    7.2825414e-06    7.3019924e-06    1.5370018e+26   -1.7537399e+26    3.2907416e+26    0.0000000e+00
0068    7.3019924e-06    7.3214437e-06    7.3409983e-06    1.5617648e+26   -1.7733613e+26    3.3351263e+26    0.0000000e+00
0069    7.3409983e-06    7.3605534e-06    7.3802125e-06    1.5869269e+26   -1.7932877e+26    3.3802146e+26    2.5050459e+19
0070    7.3802125e-06    7.3998722e-06    7.4196369e-06    1.6124943e+26   -1.8135251e+26    3.4260193e+26    0.0000000e+00
