Spectra extracted from: /Users/belmont/Recherche/codes/BELM/belm/simu000/synch_escape.txt
At local time: 21:32:11,  07/01/2021
Author: belmont
 
PARAMETERS:-----------------------------------
time      = 0.00e+00
Rcm       = 5.00e+07
tau       = 2.40e+00
lb        = 1.61e-02
beta      = 2.91e+08
lth       = 9.49e+00
lc        = 0.00e+00
Tp        = 1.00e+06
pinj      = 1.57e-01
lnth      = 9.50e-01
p1        = 8.31e-01
p2        = 1.00e+03
gamma_inj = 5.00e+00
linjw     = 0.00e+00
kTin      = 1.00e+00
kTout     = 1.00e-10
linjem    = 0.00e+00
linjep    = 0.00e+00
lslh      = 0.00e+00
lh        = 0.00e+00
llll      = 0.00e+00
lblh      = 0.00e+00
lnthlh    = 0.00e+00
par3      = 0.00e+00
y         = 0.00e+00
rr        = 0.00e+00
qsto      = 1.67e+00
lsto      = 0.00e+00
lstotot   = 0.00e+00
tau_inj   = 0.00e+00
kTin_inj  = 0.00e+00
pinj_inj  = 0.00e+00
 
PHOTON DISTRIBUTIONS:-------------------------
 #bin     Emin(keV)         E(keV)          Emax(keV)        SPECTRUM         Synchrotron      Error           
-----------------------------------------------
0001    5.1099903e-07    5.2533198e-07    5.4049224e-07    7.7235319e+22    7.7234806e+22    5.1838905e+17
0002    5.4049224e-07    5.5565249e-07    5.7168774e-07    9.1313473e+22    9.1312752e+22    7.2271367e+17
0003    5.7168774e-07    5.8772298e-07    6.0468363e-07    1.0801141e+23    1.0801193e+23    5.2904905e+17
0004    6.0468363e-07    6.2164440e-07    6.3958402e-07    1.2789404e+23    1.2789283e+23    1.2060979e+18
0005    6.3958402e-07    6.5752369e-07    6.7649870e-07    1.5124376e+23    1.5124440e+23    6.3718822e+17
0006    6.7649870e-07    6.9547377e-07    7.1554405e-07    1.7886322e+23    1.7886830e+23    5.0739125e+18
0007    7.1554405e-07    7.3561426e-07    7.5684295e-07    2.1169498e+23    2.1169298e+23    1.9859978e+18
0008    7.5684295e-07    7.7807152e-07    8.0052541e-07    2.5049585e+23    2.5049473e+23    1.1196797e+18
0009    8.0052541e-07    8.2297930e-07    8.4672911e-07    2.9626473e+23    2.9626364e+23    1.0765030e+18
0010    8.4672911e-07    8.7047897e-07    8.9559956e-07    3.5058635e+23    3.5058167e+23    4.6860306e+18
0011    8.9559956e-07    9.2072020e-07    9.4729069e-07    4.1476571e+23    4.1476434e+23    1.3718862e+18
0012    9.4729069e-07    9.7386123e-07    1.0019653e-06    4.9074893e+23    4.9074190e+23    7.0163119e+18
0013    1.0019653e-06    1.0300693e-06    1.0597953e-06    5.8063260e+23    5.8064287e+23    1.0241277e+19
0014    1.0597953e-06    1.0895214e-06    1.1209632e-06    6.8700596e+23    6.8699580e+23    1.0222629e+19
0015    1.1209632e-06    1.1524050e-06    1.1856616e-06    8.1287322e+23    8.1288683e+23    1.3585899e+19
0016    1.1856616e-06    1.2189181e-06    1.2540941e-06    9.6181576e+23    9.6181540e+23    3.4348980e+17
0017    1.2540941e-06    1.2892701e-06    1.3264763e-06    1.1380643e+24    1.1380594e+24    4.8996245e+18
0018    1.3264763e-06    1.3636826e-06    1.4030362e-06    1.3466218e+24    1.3466311e+24    9.2433590e+18
0019    1.4030362e-06    1.4423899e-06    1.4840150e-06    1.5934096e+24    1.5934019e+24    7.6957348e+18
0020    1.4840150e-06    1.5256400e-06    1.5696675e-06    1.8854351e+24    1.8854246e+24    1.0493091e+19
0021    1.5696675e-06    1.6136950e-06    1.6602635e-06    2.2309899e+24    2.2309824e+24    7.3746889e+18
0022    1.6602635e-06    1.7068321e-06    1.7560885e-06    2.6398859e+24    2.6398715e+24    1.4312164e+19
0023    1.7560885e-06    1.8053449e-06    1.8574442e-06    3.1237333e+24    3.1237229e+24    1.0360669e+19
0024    1.8574442e-06    1.9095437e-06    1.9646500e-06    3.6962712e+24    3.6962741e+24    2.9504751e+18
0025    1.9646500e-06    2.0197560e-06    2.0780431e-06    4.3737547e+24    4.3737694e+24    1.4618213e+19
0026    2.0780431e-06    2.1363298e-06    2.1979811e-06    5.1754231e+24    5.1754168e+24    6.3307125e+18
0027    2.1979811e-06    2.2596321e-06    2.3248413e-06    6.1240389e+24    6.1240320e+24    6.4923638e+18
0028    2.3248413e-06    2.3900504e-06    2.4590236e-06    7.2465354e+24    7.2465232e+24    1.1885609e+19
0029    2.4590236e-06    2.5279965e-06    2.6009502e-06    8.5747868e+24    8.5747903e+24    3.6936664e+18
0030    2.6009502e-06    2.6739042e-06    2.7510687e-06    1.0146508e+25    1.0146523e+25    1.5702906e+19
0031    2.7510687e-06    2.8282332e-06    2.9098512e-06    1.2006327e+25    1.2006310e+25    1.7567857e+19
0032    2.9098512e-06    2.9914695e-06    3.0777985e-06    1.4207052e+25    1.4207053e+25    1.0344367e+18
0033    3.0777985e-06    3.1641275e-06    3.2554390e-06    1.6811173e+25    1.6811184e+25    1.1572913e+19
0034    3.2554390e-06    3.3467504e-06    3.4433322e-06    1.9892628e+25    1.9892623e+25    3.8842098e+18
0035    3.4433322e-06    3.5399139e-06    3.6420702e-06    2.3538915e+25    2.3538910e+25    4.3455165e+18
0036    3.6420702e-06    3.7442264e-06    3.8522790e-06    2.7853571e+25    2.7853557e+25    1.2964297e+19
0037    3.8522790e-06    3.9603310e-06    4.0746195e-06    3.2959102e+25    3.2959116e+25    1.4503998e+19
0038    4.0746195e-06    4.1889084e-06    4.3097934e-06    3.9000466e+25    3.9000457e+25    1.2169919e+19
0039    4.3097934e-06    4.4306785e-06    4.5585407e-06    4.6149225e+25    4.6149220e+25    4.5384258e+18
0040    4.5585407e-06    4.6864029e-06    4.8216448e-06    5.4608330e+25    5.4608312e+25    1.5232291e+19
0041    4.8216448e-06    4.9568866e-06    5.0999347e-06    6.4617976e+25    6.4617976e+25    0.0000000e+00
0042    5.0999347e-06    5.2429818e-06    5.3942858e-06    7.6462377e+25    7.6462386e+25    6.3550870e+18
0043    5.3942858e-06    5.5455898e-06    5.7056268e-06    9.0477839e+25    9.0477839e+25    0.0000000e+00
0044    5.7056268e-06    5.8656628e-06    6.0349366e-06    1.0706226e+26    1.0706227e+26    7.9542448e+18
0045    6.0349366e-06    6.2042100e-06    6.3832535e-06    1.2668659e+26    1.2668659e+26    0.0000000e+00
0046    6.3832535e-06    6.5622971e-06    6.7516739e-06    1.4990798e+26    1.4990799e+26    9.9558084e+18
0047    6.7516739e-06    6.9410512e-06    7.1413588e-06    1.7738575e+26    1.7738575e+26    0.0000000e+00
0048    7.1413588e-06    7.3416659e-06    7.5535345e-06    2.0990002e+26    2.0990002e+26    0.0000000e+00
0049    7.5535345e-06    7.7654031e-06    7.9894999e-06    2.4837399e+26    2.4837399e+26    0.0000000e+00
0050    7.9894999e-06    8.2135966e-06    8.4506282e-06    2.9390002e+26    2.9390004e+26    3.1193314e+19
0051    8.4506282e-06    8.6876589e-06    8.9383702e-06    3.4777060e+26    3.4777060e+26    0.0000000e+00
0052    8.9383702e-06    9.1890815e-06    9.4542638e-06    4.1151521e+26    4.1151521e+26    0.0000000e+00
0053    9.4542638e-06    9.7194461e-06    9.9999334e-06    4.8694376e+26    4.8694376e+26    0.0000000e+00
0054    9.9999334e-06    1.0280421e-05    1.0577097e-05    5.7619752e+26    5.7619752e+26    0.0000000e+00
0055    1.0577097e-05    1.0873773e-05    1.1187572e-05    6.8181062e+26    6.8181062e+26    0.0000000e+00
0056    1.1187572e-05    1.1501372e-05    1.1833283e-05    8.0678141e+26    8.0678141e+26    0.0000000e+00
0057    1.1833283e-05    1.2165194e-05    1.2516261e-05    9.5465782e+26    9.5465782e+26    0.0000000e+00
0058    1.2516261e-05    1.2867329e-05    1.3238659e-05    1.1296382e+27    1.1296382e+27    0.0000000e+00
0059    1.3238659e-05    1.3609989e-05    1.4002751e-05    1.3366897e+27    1.3366897e+27    0.0000000e+00
0060    1.4002751e-05    1.4395513e-05    1.4810945e-05    1.5816910e+27    1.5816910e+27    0.0000000e+00
0061    1.4810945e-05    1.5226376e-05    1.5665782e-05    1.8715971e+27    1.8715971e+27    0.0000000e+00
0062    1.5665782e-05    1.6105192e-05    1.6569962e-05    2.2146380e+27    2.2146380e+27    0.0000000e+00
0063    1.6569962e-05    1.7034730e-05    1.7526327e-05    2.6205518e+27    2.6205518e+27    0.0000000e+00
0064    1.7526327e-05    1.8017920e-05    1.8537887e-05    3.1008626e+27    3.1008626e+27    0.0000000e+00
0065    1.8537887e-05    1.9057858e-05    1.9607834e-05    3.6692044e+27    3.6692044e+27    0.0000000e+00
0066    1.9607834e-05    2.0157813e-05    2.0739535e-05    4.3417113e+27    4.3417113e+27    0.0000000e+00
0067    2.0739535e-05    2.1321257e-05    2.1936554e-05    5.1374737e+27    5.1374737e+27    0.0000000e+00
0068    2.1936554e-05    2.2551851e-05    2.3202660e-05    6.0790805e+27    6.0790805e+27    0.0000000e+00
0069    2.3202660e-05    2.3853469e-05    2.4541841e-05    7.1932592e+27    7.1932592e+27    0.0000000e+00
0070    2.4541841e-05    2.5230214e-05    2.5958318e-05    8.5116382e+27    8.5116382e+27    0.0000000e+00
0071    2.5958318e-05    2.6686421e-05    2.7456545e-05    1.0071639e+28    1.0071639e+28    0.0000000e+00
